Statutory_Code,Literal_display,Code_Type,Charge_Type,Type,CJIS,Low Term (Months),Mid Term (Months),Upper Term (Months),AB109,Wobbler,Calcrim Instruction,
12761,Use or possession of ﬂame-throwing device w/o permit,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
17061(b),Willful violation of Employee Housing Act causing personal injury to another,H&S,Crime,Felony,,24,36,48,Yes,Yes,,
18124.5,Fraudulent alteration of title to mobile home,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
25180.7,Knowing failure to disclose information regarding illegal discharge of hazardous waste,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
25189.5(b),Knowing disposal of hazardous waste at unauthorized site,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
25189.5(c),Transport of hazardous waste to unauthorized plant,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
25189.5(d),Treatment or storage of hazardous waste at unauthorized facility ,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
25189.6(a),"Treatment, transport, disposal, or storage of hazardous waste that causes unreasonable risk ofﬁre, explosion, or serious injury",H&S,Crime,Felony,,16,24,36,Yes,Yes,,
25189.6(b) ,iolation of H&S 25189.6(a) that places person in imminent danger of serious harm or death,H&S,Crime,Felony,,36,72,108,Yes,No,,
25189.7(b),Burning hazardous waste at unauthorized facility,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
25190,Violation of hazardous waste disposal regulations w/prior conviction,H&S,Crime,Felony,,16,20,24,Yes,Yes,,
25191(a),Illegal transport of hazardous waste w/prior conviction,H&S,Crime,Felony,,16,20,24,Yes,Yes,,
25395.13(b) ,"Mishandling of hazardous substance by private site manager causing unreasonable risk of ﬁre, explosion, serious injury, or death",H&S,Crime,Felony,,16,24,36,Yes,Yes,,
25510,Failure to report release of hazardous waste w/prior conviction,H&S,Crime,Felony,,16,20,24,Yes,Yes,,
25541,Making false statements/misrepresentations in documents relating to management of hazardous materials w/prior conviction,H&S,Crime,Felony,,12,24,36,Yes,Yes,,
42400.3(c),Unlawful emission of air contaminant causing GBI or death,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
44209,Falsifying vehicle emissions test report,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
100895,Falsifying statements in reports regarding regulation of environmental laboratories w/prior conviction,H&S,Crime,Felony,,16,20,24,Yes,Yes,,
103800,Willful ﬁling of false certiﬁcate or afﬁdavit for birth certiﬁcate,H&S,Crime,Felony,,16,24,36,No,No,,
109335,Noncompliance w/regulations relating to cancer diagnosis and treatment w/2 prior convictions,H&S,Crime,Felony,,16,24,36,Yes,No,,
109370,Noncompliance w/regulations relating to cancer diagnosis and treatment,H&S,Crime,Felony,,16,24,36,No,Yes,,
115215(b) ,Unauthorized disposal of radioactive material causing substantial danger to public health or safety,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
115215(b),Unauthorized disposal of radioactive material causing GBI or substantial probability of death,H&S,Crime,Felony,,36,60,84,Yes,No,,
115215(c) ,Unauthorized transportation of radioactive material causing substantial danger to public health or safety,H&S,Crime,Felony,,16,24,36,Yes,Yes,,
115215(c) ,Unauthorized transportation of radioactive material causing GBI or substantial probability of death ,H&S,Crime,Felony,,36,60,84,Yes,No,,
116730,Falsifying statements in reports regarding regulation of public water systems w/prior conviction,H&S,Crime,Felony,,16,20,24,Yes,Yes,,
116750(a),Tampering w/public water system,H&S,Crime,Felony,,36,48,60,Yes,No,,
116750(b),Threatening to tamper w/public water system,H&S,Crime,Felony,,16,24,36,Yes,No,,
118340(a),"Unauthorized treatment, transport, storage, or disposal of medical waste w/prior conviction",H&S,Crime,Felony,,12,24,36,Yes,Yes,,
118340(d),Knowing unauthorized treatment or disposal of medical waste,H&S,Crime,Felony,,12,24,36,Yes,Yes,,
131130,"Failure to comply w/order to remove from sale any product linked to outbreak of illness, injury, or product tampering w/prior conviction",H&S,Crime,Felony,,16,24,36,Yes,Yes,,
1522.01(c),Use of disclosed information about sex offenders to commit a felony,H&S,Enhancement,Felony,,NA,60,NA,NA,NA,,
11353.1(a)(1) ,"Using minor for drug transactions involving heroin or cocaine on grounds of church, playground, etc.",H&S,Enhancement,Felony,,NA,12,NA,NA,NA,,
11353.1(a)(2) ,Using minor for drug transactions involving heroin or cocaine on or near school grounds,H&S,Enhancement,Felony,,NA,24,NA,NA,NA,,
11353.1(a)(3),Using minor at least 4 years younger than defendant for drug transactions,H&S,Enhancement,Felony,,12,24,36,NA,NA,,
11353.4(a) ,Prior conviction of using minor for drug transactions involving cocaine base resulting in prison sentence w/current conviction of same offense,H&S,Enhancement,Felony,,12,24,36,NA,NA,,
11353.6(b),Prior conviction of using minor for drug transactions involving cocaine base w/current conviction of using minor 14 years of age or younger for drug transactions involving cocaine base,H&S,Enhancement,Felony,,12,24,36,NA,NA,,
11353.6(b),Selling drugs to minor on or near school grounds,H&S,Enhancement,Felony,,36,48,60,NA,NA,,
11353.6(c) ,Selling drugs to minor at least 4 years younger than defendant on or near school grounds,H&S,Enhancement,Felony,,36,48,60,NA,NA,,
11356.5(a),Inducing another to violate drug laws in excessive values,H&S,Enhancement,Felony,,12,24,36,NA,NA,,
11370.2(a),Prior narcotics conviction enhancement,H&S,Enhancement,Felony,,NA,36,NA,NA,NA,,
11370.2(b),Prior (specified) controlled substance conviction,H&S,Enhancement,Felony,,NA,36,NA,NA,NA,,
11370.2(c),Prior (specified) controlled substance conviction,H&S,Enhancement,Felony,,NA,36,NA,NA,NA,,
11370.4(a)(1),"Violation of H&S 11351, 11351.5, or 11352 where substance exceeds 1 kg",H&S,Enhancement,Felony,,NA,36,NA,NA,NA,,
11370.4(a)(2),"Violation of H&S 11351, 11351.5, or 11352 where substance exceeds 4 kg",H&S,Enhancement,Felony,,NA,60,NA,NA,NA,,
11370.4(a)(3),"Violation of H&S 11351, 11351.5, or 11352 where substance exceeds 10 kg",H&S,Enhancement,Felony,,NA,120,NA,NA,NA,,
11370.4(a)(4),"Violation of H&S 11351, 11351.5, or 11352 where substance exceeds 20 kg",H&S,Enhancement,Felony,,NA,180,NA,NA,NA,,
11370.4(a)(5),"Violation of H&S 11351, 11351.5, or 11352 where substance exceeds 40 kg",H&S,Enhancement,Felony,,NA,240,NA,NA,NA,,
11370.4(a)(6),"Violation of H&S 11351, 11351.5, or 11352 where substance exceeds 80 kg",H&S,Enhancement,Felony,,NA,300,NA,NA,NA,,
11370.4(b)(1),"Violation of H&S 11378, 11378.5, 11379, or 11379.5 w/ respect to methamphetamine, amphetamine, phencyclidine (PCP) where substance exceeds 30 liters.",H&S,Enhancement,Felony,,NA,36,NA,NA,NA,,
11370.4(b)(2),"Violation of H&S 11378, 11378.5, 11379, or 11379.5 w/ respect to methamphetamine, amphetamine, phencyclidine (PCP) where substance exceeds 100 liters.",H&S,Enhancement,Felony,,NA,60,NA,NA,NA,,
11370.4(b)(3),"Violation of H&S 11378, 11378.5, 11379, or 11379.5 w/ respect to methamphetamine, amphetamine, phencyclidine (PCP) where substance exceeds 200 liters.",H&S,Enhancement,Felony,,NA,120,NA,NA,NA,,
11370.4(b)(4),"Violation of H&S 11378, 11378.5, 11379, or 11379.5 w/ respect to methamphetamine, amphetamine, phencyclidine (PCP) where substance exceeds 400 liters.",H&S,Enhancement,Felony,,NA,180,NA,NA,NA,,
11379.7(a) ,Manufacturing or possessing precursors of methamphetamine or PCP wit manufacture in structure where minor under 16 years of age present,H&S,Enhancement,Felony,,NA,24,NA,NA,NA,,
11379.7(b) ,Manufacturing or possessing precursors of methamphetamine or PCP wit manufacture and causing BGI to minor under 16 years of age,H&S,Enhancement,Felony,,NA,60,NA,NA,NA,,
11379.8(a)(1),Violation of H&S11379.6 where the substance exceeds three gallons of liquid by volume or one pound of solid substances by weight.,H&S,Enhancement,Felony,,NA,36,NA,NA,NA,,
11379.8(a)(2),Violation of H&S11379.6 where the substance exceeds 10 gallons of liquid by volume or three pounds of solid substance by weight.,H&S,Enhancement,Felony,,NA,60,NA,NA,NA,,
11379.8(a)(3),Violation of H&S11379.6 where the substance exceeds 25 gallons of liquid by volume or 10 pounds of solid substance by weight.,H&S,Enhancement,Felony,,NA,120,NA,NA,NA,,
11379.8(a)(4),Violation of H&S11379.6 where the substance exceeds 105 gallons of liquid by volume or 44 pounds of solid substance by weight.,H&S,Enhancement,Felony,,NA,180,NA,NA,NA,,
11379.9(a) ,Manufacturing or possessing precursors of methamphetamine or PCP wit manufacture and causing death or GBI (1 year per injury),H&S,Enhancement,Felony,,NA,12,NA,NA,NA,,
11380.1(a)(1) ,"Using minor for drug transactions involving PCP, methamphetamine, or LSD on grounds of church, playground, etc.",H&S,Enhancement,Felony,,NA,12,NA,NA,NA,,
11380.1(a)(2) ,"Using minor for drug transactions involving PCP, methamphetamine, or LSD on or near school grounds",H&S,Enhancement,Felony,,NA,24,NA,NA,NA,,
11380.1(a)(3),Using minor at least 4 years younger than defendant for drug transactions,H&S,Enhancement,Felony,,12,24,36,NA,NA,,
11380.7,"Trafficking in CS on grounds of, or within 1,000 feet of, a drug treatment center, detox facility, or homeless shelter",H&S,Enhancement,Felony,,NA,12,NA,NA,NA,,
25189.5(e) ,"Unlawful disposal, transport, treatment, or storage of hazardous waste causing GBI or substantial probability of death (discretionary)",H&S,Enhancement,Felony,,12,24,36,NA,NA,,
25189.7(c) ,nlawful burning or incineration of hazardous waste causing GBI or substantial probability of death (discretionary),H&S,Enhancement,Felony,,12,24,36,NA,NA,,
700,Transacting insurance business w/o certiﬁcation,INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
750,Unlawful referrals,INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
750,Unlawful referrals w/prior conviction,INS. CODE,Crime,Felony,,16,24,36,Yes,No,,
833,"False statement to insurance commissioner, etc.",INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
900.9,Ofﬁcer or employee of insurer who signs or ﬁles false report orstatement w/intent to deceive,INS. CODE,Crime,Felony,,16,24,36,No,No,,
1043,Unlawful acts in mutualization or rehabilitating insurer,INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
1215.11,Violation of insurance holding company system regulatory act,INS. CODE,Crime,Felony,,16,24,36,Yes,No,,
1764.7,Violation of laws regulating surplus line broker operations,INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
1814,"Violation of commissioner rules, etc.",INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
1871.4,Preparing/presenting false/fraudulent workers' compensation claim or claim under return-to-work program,INS. CODE,Crime,Felony,,24,36,60,Yes,Yes,,
10192.165(e),Violating provisions regulating Medicare supplement policies ,INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
11160,Paying compensation to any employee/ofﬁcer to aid merger,INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
11162,Ofﬁcer borrowing funds/guaranteeing loans for organization,INS. CODE,Crime,Felony,,16,24,36,Yes,No,,
11163,Ofﬁcer asking/receiving consideration for procuring loans,INS. CODE,Crime,Felony,,16,24,36,Yes,No,,
11760(a) ,"Making false/fraudulent statements for purpose of reducing premium, rate, or cost of workers' comp insurance ",INS. CODE,Crime,Felony,,24,36,60,Yes,Yes,,
11880(a) ,"Making false/fraudulent statements for purpose of reducing premium, rate, or cost of state workers' comp insurance",INS. CODE,Crime,Felony,,24,36,60,Yes,Yes,,
12660,Guaranteeing or insuring land values,INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
12845,Unlawfully providing vehicle service contract forms,INS. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
14080,Submitting false ﬁngerprints/photos in application for insurance adjuster license ,INS. CODE,Crime,Felony,,16,24,36,No,No,,
15053,Submitting false ﬁngerprints/photos in application for public insurance adjuster license ,INS. CODE,Crime,Felony,,16,24,36,No,No,,
1871.4(c) ,Prior felony conviction of insurance fraud w/current conviction of making false/fraudulent statements concerning workers' compensation claim or claim under return-to-work program,INS. CODE,Enhancement,Felony,,NA,24,NA,NA,NA,,
11760(b) ,"Prior felony conviction of insurance fraud w/current conviction of making false/fraudulent statements for purpose of reducing premium, rate, or cost of workers' compensation insurance",INS. CODE,Enhancement,Felony,,NA,24,NA,NA,NA,,
11880(b) ,"Prior felony conviction of insurance fraud w/current conviction of making false/fraudulent statements for purpose of reducing premium, rate, or cost of workers' compensation insurance issued by StateCompensation Insurance Fund ",INS. CODE,Enhancement,Felony,,NA,24,NA,NA,NA,,
227,Employer willfully or w/intent to defraud fails to remit withholdings from employee wages in excess of $500,LAB. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
1778,Taking or receiving or conspiring to take or receive a portion of wages of workman on any public work,LAB. CODE,Crime,Felony,,16,24,36,No,No,,
3215,Referral of clients or patients for compensation,LAB. CODE,Crime,Felony,,16,24,36,No,Yes,,
3215,Referral of clients or patients for compensation w/prior conviction,LAB. CODE,Crime,Felony,,16,24,36,No,No,,
3219(a) ,"Give consideration as compensation, inducement, or reward to adjuster for referral or settlement of claim ",LAB. CODE,Crime,Felony,,16,24,36,No,No,,
3219(b) ,"Adjuster accepting or receiving consideration as compensation, inducement, or reward to adjuster for referral or settlement of claim",LAB. CODE,Crime,Felony,,16,24,36,No,No,,
6425(a) ,Violation of occupational safety or health standard or order causing death of employee or permanent and prolonged impairment of body of employee,LAB. CODE,Crime,Felony,,16,24,36,No,Yes,,
6425(b),Violation above w/speciﬁed prior conviction,LAB. CODE,Crime,Felony,,24,36,48,No,Yes,,
6425(c),Violation above w/prior conviction of same,LAB. CODE,Crime,Felony,,24,36,48,Yes,Yes,,
7770,Mismanagement of steam boiler/engine causing accident endangering human life ,LAB. CODE,Crime,Felony,,16,24,36,No,No,,
7771,Mismanagement of steam boiler/engine resulting in death/bodily injury ,LAB. CODE,Crime,Felony,,24,36,48,Yes,No,,
145,Violation of martial law,M&V,Crime,Felony,,24,36,48,Yes,Yes,,
421,Conversion of military property over $950,M&V,Crime,Felony,,16,24,36,No,No,,
616,Displaying flag advocating overthrow of government,M&V,Crime,Felony,,16,24,36,No,No,,
1318,Vandalizing veterans' memorial,M&V,Crime,Felony,,16,24,36,Yes,Yes,,
1670,Act of sabotage not resulting in death or GBI,M&V,Crime,Felony,,24,48,72,Yes,Yes,,
1670,Act of sabotage not resulting in death or GBI w/specific intent,M&V,Crime,Felony,,36,60,84,Yes,Yes,,
1671,Interfering w/property or failing to report defects in property intended for war or defense not resulting in death or GBI,M&V,Crime,Felony,,24,48,72,Yes,Yes,,
1671,Interfering w/property or failing to report defects in property intended for war or defense not resulting in death or GBI w/specific intent to commit sabotage,M&V,Crime,Felony,,36,60,84,Yes,Yes,,
1673,Attempted violation of M&V 1670 & 1671,M&V,Crime,Felony,,24,36,48,Yes,Yes,,
32,Accessory after the fact to a felony,PC,Crime,Felony,,16,24,36,Yes,Yes,440,
38,Knowledge and concealment of treason,PC,Crime,Felony,,16,24,36,Yes,No,,
67,Bribing state executive,PC,Crime,Felony,,24,36,48,No,No,2600,
67.5,Bribing state official/employee,PC,Crime,Felony,,16,24,36,Yes,No,"2601, 2602",
68,State official asking for or receiving bribe,PC,Crime,Felony,,24,36,48,No,No,2603,
69(a),Resisting or deterring executive officer,PC,Crime,Felony,,16,24,36,Yes,Yes,"2651, 2653",
71,Threat to injure school or public employees,PC,Crime,Felony,,16,24,36,Yes,Yes,,
71,Threat to injure school or public employees w/ prior conviction,PC,Crime,Felony,,16,24,36,Yes,No,,
72,False claim to public board or officer with intent to defraud,PC,Crime,Felony,,16,24,36,Yes,Yes,,
72.5,"Presenting claim for public funds to reimburse costs incurred for
political function",PC,Crime,Felony,,16,24,36,Yes,Yes,,
76,"Threatening life of or threatening serious bodily harm to government
official",PC,Crime,Felony,,16,24,36,Yes,Yes,,
76,"Threatening life of or threatening serious bodily harm to government
official with prior conviction",PC,Crime,Felony,,16,24,36,Yes,No,,
85,Bribing legislator,PC,Crime,Felony,,24,36,48,No,No,,
86,Legislator accepting bribe,PC,Crime,Felony,,24,36,48,No,No,2603,
92,Bribing judicial officer or juror,PC,Crime,Felony,,24,36,48,No,No,,
93,Judicial officer or juror accepting bribe,PC,Crime,Felony,,24,36,48,No,No,2603,
95,Influencing juror/referee/umpire,PC,Crime,Felony,,16,24,36,Yes,Yes,,
95.1,Threatening juror following verdict,PC,Crime,Felony,,16,24,36,Yes,Yes,,
96,Misconduct of jurors/referees/umpires,PC,Crime,Felony,,16,24,36,Yes,Yes,,
99,State printer conflict of interest,PC,Crime,Felony,,16,24,36,Yes,Yes,,
100,Collusion of state printer in fraud against state,PC,Crime,Felony,,16,24,36,No,Yes,,
107,Escape of felon prisoner from training school/county hospital,PC,Crime,Felony,,16,24,36,Yes,Yes,,
109,"Assisting escape of inmate from training school/reformatory, etc.",PC,Crime,Felony,,16,24,36,Yes,No,,
110,Send/carry into training school/reformatory items for escape,PC,Crime,Felony,,16,24,36,No,No,,
113,Manufacture or sale of false citizenship documents,PC,Crime,Felony,,NA,60,NA,Yes,Yes,,
114,Use of false documents to conceal true citizenship,PC,Crime,Felony,,NA,60,NA,Yes,Yes,,
115,Attempt to record false or forged instrument,PC,Crime,Felony,,16,24,36,No,No,,
115.1,Publishing campaign advertisement containing unauthorized signature,PC,Crime,Felony,,16,24,36,Yes,Yes,,
115.5(a),Filing false document affecting real property w/county recorder,PC,Crime,Felony,,16,24,36,Yes,Yes,,
115.5(b),"Making false sworn statement to notary public regarding real
property document",PC,Crime,Felony,,16,24,36,No,No,,
116,Tampering w/jury list,PC,Crime,Felony,,16,24,36,No,No,,
117,Certifying false jury list,PC,Crime,Felony,,16,24,36,No,No,,
118,Perjury,PC,Crime,Felony,,24,36,48,Yes,No,,
118a,Perjury by false document,PC,Crime,Felony,,24,36,48,Yes,No,,
118.1,Peace officer filing a false report,PC,Crime,Felony,,12,24,36,No,Yes,,
127,Subornation of perjury,PC,Crime,Felony,,24,36,48,Yes,No,,
129,False return under oath,PC,Crime,Felony,,24,36,48,Yes,No,,
132,Offer false/forged/altered evidence,PC,Crime,Felony,,16,24,36,No,No,,
134,Preparing false evidence,PC,Crime,Felony,,16,24,36,No,No,,
136.1(a),Maliciously dissuade witness or victim from testimony,PC,Crime,Felony,,16,24,36,No,Yes,,
136.1(b),Dissuade witness to or victim of crime from making report,PC,Crime,Felony,,16,24,36,No,Yes,,
136.1(c),Prevent testimony w/threat of violence or force,PC,Crime,Felony,,24,36,48,No,No,,
136.1(d),Attempt to prevent testimony,PC,Crime,Felony,,24,36,48,No,No,,
136.2(d)(3),"Purchasing, receiving, or attempt to purchase or receive firearm in
violation of protective order",PC,Crime,Felony,,16,24,36,No,Yes,,
136.5,Possess deadly weapon wit dissuade witness from testimony,PC,Crime,Felony,,16,24,36,No,Yes,,
136.7,"Disclosure by person imprisoned for a sexual offense of witness' or
victim's name and address to another prisoner w/ intent to  intimidate or harass",PC,Crime,Felony,,16,24,36,Yes,Yes,,
137(a),Inducing false testimony by bribing witness,PC,Crime,Felony,,16,24,36,No,No,2610,
137(b),Inducing false testimony through use of force or threat,PC,Crime,Felony,,24,36,48,Yes,No,2620,
138(a),Offering bribe to witness to dissuade attendance at judicial proceeding,PC,Crime,Felony,,16,24,36,No,No,2611,
138(b) ,Receipt of bribe by witness,PC,Crime,Felony,,16,24,36,No,No,2612,
139,Threatening witness to or victim of crime,PC,Crime,Felony,,24,36,48,Yes,Yes,,
140,"Use of force or threat of force or violence to witness or victim because
of assistance in prosecution",PC,Crime,Felony,,24,36,48,Yes,Yes,,
141(b),Peace officer tampering or falsifying evidence,PC,Crime,Felony,,24,36,48,No,No,,
141(c),Prosecutor tampering or falsifying evidence,PC,Crime,Felony,,16,24,36,Yes,No,,
142,Officer refusing to receive or make arrest,PC,Crime,Felony,,16,24,36,Yes,Yes,,
146a(b),Impersonating an officer,PC,Crime,Felony,,16,24,36,Yes,Yes,,
146e(b),"Disclosure of address/phone number of peace officer or family member
resulting in bodily injury to these persons",PC,Crime,Felony,,16,24,36,Yes,No,,
148(b),Taking of weapon while resisting arrest,PC,Crime,Felony,,16,24,36,Yes,Yes,,
148(c),Taking of firearm while resisting arrest,PC,Crime,Felony,,16,24,36,Yes,No,,
148(d),Taking of firearm from peace officer wit permanently deprive,PC,Crime,Felony,,16,24,36,Yes,Yes,,
148.1(a),False bomb report to official,PC,Crime,Felony,,16,24,36,Yes,Yes,,
148.1(b),False bomb report to on-duty peace officer,PC,Crime,Felony,,16,24,36,Yes,Yes,,
148.1(c),False bomb report to any other person,PC,Crime,Felony,,16,24,36,Yes,Yes,,
148.1(d),Sending/mailing a facsimile bomb to any person,PC,Crime,Felony,,16,24,36,Yes,Yes,,
148.1(d),"Malicious possession of facsimile bomb wit cause another to fear for
his or her safety",PC,Crime,Felony,,16,24,36,Yes,Yes,,
148.3(b),False report of emergency resulting in death/GBI,PC,Crime,Felony,,16,24,36,Yes,Yes,,
148.4(b),False fire alarm resulting in death/GBI,PC,Crime,Felony,,16,24,36,Yes,Yes,,
148.1,Resisting officer and causing death or serious bodily injury,PC,Crime,Felony,,24,36,48,Yes,Yes,,
149,Assault or battery by police,PC,Crime,Felony,,16,24,36,Yes,Yes,,
151(a)(2),Advocating injury/death of peace officer resulting in injury/death,PC,Crime,Felony,,16,24,36,No,No,,
153,Compounding or concealing crime punishable by death or state prison,PC,Crime,Felony,,16,24,36,Yes,Yes,,
154(b),"Defrauding creditors by selling or concealing property of value
greater than $250",PC,Crime,Felony,,16,24,36,No,No,,
155,Selling or concealing property by defendant or judgment debtor,PC,Crime,Felony,,16,24,36,No,No,,
155.5(b),"Disposal of property by convicted felon prior to sentencing or
during period restitution order remains unsatisfied and enforceable
to avoid making restitution",PC,Crime,Felony,,16,24,36,No,No,,
156,Producing spurious heir,PC,Crime,Felony,,24,36,48,Yes,No,,
157,Substituting child,PC,Crime,Felony,,24,36,48,Yes,No,,
165,Giving or offering bribe to official,PC,Crime,Felony,,24,36,48,Yes,No,,
166(c)(4),Violation of protective order w/ prior conviction,PC,Crime,Felony,,16,24,36,No,Yes,,
166(d),Purchase or receipt of firearm in violation of protective order,PC,Crime,Felony,,16,24,36,No,Yes,,
168,Disclosing warrant prior to execution,PC,Crime,Felony,,16,24,36,Yes,Yes,,
171b,"Bringing firearm, knife, or deadly weapon into state or local public
building",PC,Crime,Felony,,16,24,36,Yes,Yes,,
171c(a),Bringing loaded firearm into state office/capitol/legislative offic,PC,Crime,Felony,,16,24,36,Yes,Yes,,
171d,Bringing loaded firearm into residence/grounds of governor/legislator,PC,Crime,Felony,,16,24,36,Yes,Yes,,
181,Involuntary servitude or sale of person,PC,Crime,Felony,,24,36,48,Yes,No,,
182(a)(1),Conspiracy to commit felony not 1170(h) eligible,PC,Crime,Felony,,TUF,TUF,TUF,Yes,No,415,
182(a)(1),Conspiracy to commit felony 1170(h) eligible,PC,Crime,Felony,,TUF,TUF,TUF,Yes,Yes,415,
182(a)(1),Conspiracy to commit a nonfelonious crime,PC,Crime,Felony,,16,24,36,Yes,Yes,415,
182(a)(2),Conspiracy to indict falsely,PC,Crime,Felony,,16,24,36,Yes,Yes,415,
182(a)(3),Conspiracy to maintain false court action,PC,Crime,Felony,,16,24,36,Yes,Yes,415,
182(a)(4),Conspiracy to cheat or defraud,PC,Crime,Felony,,16,24,36,Yes,Yes,415,
182(a)(5),Conspiracy to obstruct justice,PC,Crime,Felony,,16,24,36,Yes,Yes,415,
182(a)(6),Conspiracy against public official,PC,Crime,Felony,,60,84,108,Yes,No,415,
182.5,Criminal street gang conspiracy and underlying felony punishable by felony not 1170(h) eligible,PC,Crime,Felony,,TUF,TUF,TUF,No,No,,
182.5,Criminal street gang conspiracy and underlying felony punishable by felony 1170(h) eligible,PC,Crime,Felony,,TUF,TUF,TUF,Yes,Yes,,
186.10(a),Money laundering,PC,Crime,Felony,,16,24,36,Yes,Yes,,
186.22(a),Participation in criminal street gang activity,PC,Crime,Felony,,16,24,36,No,Yes,,
186.22(d),Commission of wobbler in association w/criminal street gang,PC,Crime,Felony,,16,24,36,No,Yes,,
186.26(a),Soliciting or recruiting person to participate in criminal street gang,PC,Crime,Felony,,16,24,36,No,No,,
186.26(b),"Use of threats of physical violence on two or more occasions within
30-day period to coerce, induce, or solicit another person to
participate in criminal street gang",PC,Crime,Felony,,24,36,48,No,No,,
186.26(c),"Use of physical violence to coerce, induce, or solicit another person
to participate in criminal street gang or to prevent person from
leaving gang",PC,Crime,Felony,,36,48,60,No,No,,
186.28,"Supplying or selling of firearm for use in commission of felony by
criminal street gang member",PC,Crime,Felony,,16,24,36,Yes,Yes,,
664/187,Attempted Murder w/o premeditation,PC,Crime,Felony,,60,84,108,No,No,,
664/187,Attempted Murder of Police w/o premeditation,PC,Crime,Felony,,NA,LIFE,NA,No,No,,
664/187,Attempted Murder w/ premeditation,PC,Crime,Felony,,NA,LIFE,NA,No,No,,
664/187,Attempted Murder of Police w/ premeditation,PC,Crime,Felony,,15,NA,LIFE,No,No,,
187(a),Murder 1st Degree,PC,Crime,Felony,,300,NA,LIFE,No,No,,
187(a),Murder 2nd Degree,PC,Crime,Felony,,180,NA,LIFE,No,No,,
190.2(a)(1),Special First Degree Murder: Financial Gain,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(2),Special First Degree Murder: Prior Murder Conv.,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(3),Special First Degree Murder: Multiple Victims,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(4),Special First Degree Murder: Use of Explosive,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(5),Special First Degree Murder: Avoid Arrest/Escape,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(6),Special First Degree Murder: Mailed Explosive,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(7),Special First Degree Murder: On duty peace officer,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(8),Special First Degree Murder: On duty federal officer,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(9),Special First Degree Murder: On duty fire fighter,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(10),Special First Degree Murder: Prevent Testimony,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(11),Special First Degree Murder: Prosecutor,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(12),Special First Degree Murder: Judge,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(13),Special First Degree Murder: Gov't Official,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(14),Special First Degree Murder: Exceptional depravity,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(15),Special First Degree Murder: Lying in wait,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(16),Special First Degree Murder: Motived by race/religion,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(17),Special First Degree Murder: During Felony Commision,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(18),Special First Degree Murder: Torture Involved,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(19),Special First Degree Murder: Poisoned used,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(20),Special First Degree Murder: Juror,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(21),Special First Degree Murder: Drive by shooting,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
190.2(a)(22),Special First Degree Murder: Gang related,PC,Crime,Felony,,NA,DEATH,NA,No,No,,
191.5(a),"Vehicular manslaughter, w/drugs or alcohol, and w/gross
negligence",PC,Crime,Felony,,48,72,120,No,No,,
191.5(b),"Vehicular manslaughter, w/drugs or alcohol, but w/o gross negligence",PC,Crime,Felony,,16,24,48,Yes,Yes,,
